n	name	score	cards	games	flags	short	alt1
442	Spiritomb	9.86	5	5		Its constant mischief and misdeeds resulted in it being bound to an Odd Keystone by a mysterious spell.	It was bound to a fissure in an Odd Keystone as punishment for misdeeds 500 years ago.
443	Gible	9.2	4	5		It attacks using its huge mouth. While its attacks are powerful, it hurts itself out of clumsiness, too.	It skulks in caves, and when prey or an enemy passes by, it leaps out and chomps them.
444	Gabite	9.2	4	7		It loves sparkly things. It seeks treasures in caves and hoards the loot in its nest.	As it digs to expand its nest, it habitually digs up gems that it then hoards in its nest.
445	Garchomp	8.4	3	5		It is said that when one runs at high speed, its wings create blades of wind that can fell nearby trees.	The protuberances on its head serve as sensors.
446	Munchlax	6.76	2	3		It hides food under its long body hair. However, it forgets it has hidden the food.	In its desperation to gulp down food, it forgets about the food it has hidden under its fur.
447	Riolu	9.26	5	3		The aura that emanates from its body intensifies to alert others if it is afraid or sad.	They communicate with one another using their auras.
448	Lucario	9.86	5	4		By reading the auras of all things, it can tell how others are feeling from over half a mile away.	A well-trained one can sense auras to identify and take in the feelings of creatures over half a mile away.
449	Hippopotas	7.6	4	3		It enshrouds itself with sand to protect itself from germs.	It shuts its nostrils tight then travels through sand as if walking.
450	Hippowdon	7.8	3	3		It blasts internally stored sand from ports on its body to create a towering twister for attack.	It is surprisingly quick to anger. It holds its mouth agape as a display of its strength.
451	Skorupi	7.6	4	3		It grips prey with its tail claws and injects poison.	It burrows under the sand to lie in wait for prey.
452	Drapion	6.8	3	3		It has the power in its clawed arms to make scrap of a car.	It takes pride in its strength. Even though it can tear foes apart, it finishes them off with powerful poison.
453	Croagunk	10.9	7	4		Inflating its poison sacs, it fills the area with an odd sound and hits flinching opponents with a poison jab.	Its cheeks hold poison sacs. It tries to catch foes off guard to jab them with toxic fingers.
454	Toxicroak	8.6	4	3		Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.	It has a poison sac at its throat. When it croaks, the stored poison is churned for greater potency.
455	Carnivine	10.42	6	5		It binds itself to trees in marshes. It attracts prey with its sweet-smelling drool and gulps them down.	It attracts prey with its sweet-smelling saliva, then chomps down.
456	Finneon	6.76	2	3		After long exposure to sunlight, the patterns on its tail fins shine vividly when darkness arrives.	The line running down its side can store sunlight.
457	Lumineon	6.76	2	3		It lives on the deep-sea floor. It attracts prey by flashing the patterns on its four tail fins.	Deep down at the bottom of the ocean, prey is scarce.
458	Mantyke	4.1	1	1		A friendly Pokémon that captures the subtle flows of seawater using its two antennae.	It swims along with a school of Remoraid, and they'll all fight together to repel attackers.
459	Snover	7.8	3	3		In the spring, it grows berries with the texture of frozen treats around its belly.	During cold seasons, it migrates to the mountain's lower reaches.
460	Abomasnow	8.86	5	4		It lives a quiet life on mountains that are perpetually covered in snow.	They appear when the snow flowers bloom. When the petals fall, they retreat to places unknown again.
461	Weavile	7.8	3	3		Evolution made it even more devious. It communicates by clawing signs in boulders.	It lives in snowy regions. It carves patterns in trees with its claws as a signal to others.
462	Magnezone	8.86	5	4		It evolved from exposure to a special magnetic field.	Sometimes the magnetism emitted by Magnezone is too strong, making them attract each other so they cannot move.
463	Lickilicky	5.9	1	4		It wraps things with its extensible tongue. Getting too close to it will leave you soaked with drool.	Their saliva contains lots of components that can dissolve anything.
464	Rhyperior	7.4	3	4		It puts rocks in holes in its palms and uses its muscles to shoot them.	It can launch a rock held in its hand like a missile by tightening then expanding muscles instantly.
465	Tangrowth	8.6	4	3		Its vines grow so profusely that, in the warm season, you can't even see its eyes.	It ensnares prey by extending arms made of vines.
466	Electivire	8.4	3	4		It pushes the tips of its two tails against the foe, then lets loose with over 20,000 volts of power.	As its electric charge amplifies, blue sparks begin to crackle between its horns.
467	Magmortar	7.4	3	4		It blasts fireballs of over 3,600 degrees Fahrenheit out of its arms.	It blasts fireballs of over 3,600 degrees F from the ends of its arms.
468	Togekiss	8.4	3	7		It shares many blessings with people who respect one another's rights and avoid needless strife.	As everyone knows, it visits peaceful regions, bringing them gifts of kindness and sweet blessings.
469	Yanmega	8.5	7	3	deictic	This six-legged Pokémon is easily capable of transporting an adult in flight.	It prefers to battle by biting apart foes' heads instantly while flying by at high speed.
470	Leafeon	7.36	2	4		Just like a plant, it uses photosynthesis. As a result, it is always enveloped in clear air.	It basically does not fight. With cells similar to those of plants, it can perform photosynthesis.
471	Glaceon	8.4	3	5		By controlling its body heat, it can freeze the atmosphere around it to make a diamond-dust flurry.	It lowers its body heat to freeze its fur. The hairs then become like needles it can fire.
472	Gliscor	10.42	6	4		Its flight is soundless. It uses its lengthy tail to carry off its prey… Then its elongated fangs do the rest.	It observes prey while hanging inverted from branches.
473	Mamoswine	7.36	2	4		Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.	A frozen Mamoswine was dug from ice dating back 10,000 years.
474	Porygon-Z	7.4	3	4		Its programming was modified to enable it to travel through alien dimensions.	Its programming was modified to enable work in alien dimensions.
475	Gallade	7.36	2	4		A master of courtesy and swordsmanship, it fights using extending swords on its elbows.	When trying to protect someone, it extends its elbows as if they were swords and fights savagely.
476	Probopass	9.2	4	5		It freely controls three small units called Mini-Noses using magnetic force.	It uses three small units to catch prey and battle enemies.
477	Dusknoir	9.2	4	7		It is said to take lost spirits into its pliant body and guide them home.	The antenna on its head captures radio waves from the world of spirits that command it to take people there.
478	Froslass	6.36	2	5		It freezes prey by blowing its -58 degrees F breath.	It freezes prey by blowing its −58 degree Fahrenheit breath.
479	Rotom	12.65	12	4		Its body is composed of plasma. It is known to infiltrate electronic devices and wreak havoc.	Research continues on this Pokémon, which could be the power source of a unique motor.
480	Uxie	7.8	3	3		Known as "The Being of Knowledge." It is said that it can wipe out the memory of those who see its eyes.	It is said that its emergence gave humans the intelligence to improve their quality of life.
481	Mesprit	7.8	3	3		Known as "The Being of Emotion." It taught humans the nobility of sorrow, pain, and joy.	It sleeps at the bottom of a lake. Its spirit is said to leave its body to fly on the lake's surface.
482	Azelf	7.8	3	3		Known as "The Being of Willpower." It sleeps at the bottom of a lake to keep the world in balance.	When Azelf flew, people gained the determination to do things.
483	Dialga	7.76	11	3	region	It has the power to control time. It appears in Sinnoh-region myths as an ancient deity.	This Pokémon completely controls the flow of time.
484	Palkia	5.82	6	3	region	It has the ability to distort space. It is described as a deity in Sinnoh-region mythology.	It is said to live in a gap in the spatial dimension parallel to ours.
485	Heatran	10.42	6	4		It dwells in volcanic caves. It digs in with its cross-shaped feet to crawl on ceilings and walls.	Boiling blood, like magma, circulates through its body.
486	Regigigas	10.9	7	4		There is an enduring legend that states this Pokémon towed continents with ropes.	It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma.
487	Giratina	10.9	7	7		It was banished for its violence. It silently gazed upon the old world from the Distortion World.	A Pokémon that is said to live in a world on the reverse side of ours.
488	Cresselia	9.42	6	4		Those who sleep holding Cresselia's feather are assured of joyful dreams.	Shiny particles are released from its wings like a veil.
489	Phione	9.2	4	4		When the water warms, they inflate the flotation sac on their heads and drift languidly on the sea in packs.	It drifts in warm seas. It always returns to where it was born, no matter how far it may have drifted.
490	Manaphy	11.32	8	4		It starts its life with a wondrous power that permits it to bond with any kind of Pokémon.	It is born with a wondrous power that lets it bond with any kind of Pokémon.
